gs_id,name,ROTY,MVP,SUPER BOWL MVP
00-0036900,Ja'Marr Chase,1,,
00-0036355,Justin Herbert,1,,
00-0035228,Kyler Murray,1,,
00-0034844,Saquon Barkley,1,,
00-0033906,Alvin Kamara,1,,
00-0033077,Dak Prescott,1,,
00-0032241,Todd Gurley,1,,
00-0031235,Odell Beckham Jr.,1,,
00-0030485,Eddie Lacy,1,,
00-0029665,Robert Griffin III,1,,
00-0027939,Cam Newton,1,1,
00-0027854,Sam Bradford,1,,
00-0026998,Percy Harvin,1,,
00-0025394,Adrian Peterson,1,1,
00-0024218,Vince Young,1,,
00-0023440,Cadillac Williams,1,,
00-0022924,Ben Roethlisberger,1,,
00-0008749,Anquan Boldin,1,,
00-0021179,Clinton Portis,1,,
00-0020403,Anthony Thomas,1,,
00-0019594,Mike Anderson,1,,
00-0008241,Edgerrin James,1,,
00-0033873,Patrick Mahomes,,2,2
00-0023459,Aaron Rodgers,,4,1
00-0034796,Lamar Jackson,,1,
00-0019596,Tom Brady,,3,5
00-0026143,Matt Ryan,1,1,
00-0010346,Peyton Manning,,5,1
00-0020536,LaDainian Tomlinson,,1,
00-0019647,Shaun Alexander,,1,
00-0011024,Steve McNair,,1,
00-0005741,Rich Gannon,,1,
00-0017200,Kurt Warner,,2,1
00-0033908,Cooper Kupp,,,1
00-0031067,Julian Edelman,,,1
00-0029567,Nick Foles,,,1
00-0026158,Joe Flacco,,,1
00-0022803,Eli Manning,,,1
00-0020531,Drew Brees,,,1
00-0024240,Santonio Holmes,,,1
00-0017162,Hines Ward,,,1
00-0021192,Deion Branch,,,1
00-0037190,Sauce Gardner,1,,
00-0036932,Micah PArsons,1,,
00-0035717,Nick Bosa,1,,
00-0034846,Shaq Leonard,1,,
00-0033874,Marshon Lattimore,1,,
00-0033156,Joey Bosa,1,,
00-0032165,Marcus Peters,1,,
00-0031388,Aaron Donald,1,,
00-0030573,Sheldon Richards,1,,
00-0029248,Luke Kuechly,1,,
00-0027940,Von Miller,1,,1
00-0027855,Nadamukong Su,1,,
00-0026991,Brian Cushing,1,,
00-0025398,Patrick Willis,1,,
00-0026150,Jerod Mayo,1,,
00-0023446,Shawne Merriman,1,,
00-0022778,Jonathan Vilma,1,,
00-0022161,Terrell Suggs,1,,
00-0021140,Julius Peppers,1,,
00-0020317,Kendrell Bell,1,,
00-0019456,Brian Urlacher,1,,
00-0009056,Jevon Kearse,1,,
00-0024248,Demeco Ryans,1,,
00-0008115,Dexter Jackson,,,1
00-0009889,Raw Lewis,,,1
00-0028180,Malcolm Smith,,,1